cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      solids-vof,solids-x-velocity,solids-y-velocity,  air-x-velocity,  air-y-velocity,           dp-dx,           dp-dy,           udm-x,           udm-y
       811, 3.750000000E-01, 1.500000000E-02, 5.000000000E-03, 1.463276276E-01, 9.340859224E-02,-1.444139721E+00, 1.499147876E-01,-1.674928902E-01,-1.595205124E+02,-2.406006324E+02, 1.017893755E+02, 2.299731608E+03
       812, 3.550000000E-01, 5.000000000E-03, 5.000000000E-03, 6.279445658E-02,-3.566777165E-01,-1.171186335E+00,-5.718990277E-01, 1.313824627E+00,-1.480009173E+02, 2.892487678E+02,-1.799884031E+02, 2.078201049E+03
       813, 3.650000000E-01, 1.500000000E-02, 5.000000000E-03, 1.007294748E-01,-7.102028078E-02,-1.282708539E+00, 1.107842246E-01, 5.252831807E-01,-3.202939725E+02,-1.130485493E+02, 2.316089576E+02, 2.303282180E+03
       814, 3.450000000E-01, 5.000000000E-03, 5.000000000E-03, 4.051468345E-02,-5.471601309E-01,-1.024330551E+00,-1.179717906E+00, 2.032149674E+00,-2.228686561E+02, 7.507440511E+02,-3.613201626E+02, 1.745876780E+03
       815, 3.550000000E-01, 1.500000000E-02, 5.000000000E-03, 7.891344424E-02,-2.117027736E-01,-1.143689369E+00, 9.435110476E-02, 1.086282076E+00,-4.591956396E+02,-5.582503638E+01, 3.185878923E+02, 2.321296846E+03
       816, 3.350000000E-01, 5.000000000E-03, 5.000000000E-03, 2.713668948E-02,-7.459816223E-01,-8.955917893E-01,-2.141441987E+00, 2.723192644E+00,-1.650203277E+02, 1.123241425E+03,-5.782507220E+02, 1.499551520E+03
       817, 3.450000000E-01, 1.500000000E-02, 5.000000000E-03, 6.495882392E-02,-3.607955762E-01,-1.020485562E+00,-2.372243692E-02, 1.577313200E+00,-5.628269289E+02, 5.242583285E+01, 2.999281155E+02, 2.311524700E+03
       818, 3.250000000E-01, 5.000000000E-03, 5.000000000E-03, 1.673160679E-02,-8.938795598E-01,-7.994154683E-01,-3.167739825E+00, 3.120165662E+00,-4.959715907E+01, 1.662117911E+03,-6.159952817E+02, 1.061825794E+03
       819, 3.350000000E-01, 1.500000000E-02, 5.000000000E-03, 5.378293766E-02,-5.219308748E-01,-9.168867538E-01,-4.045810181E-01, 1.975935077E+00,-5.427266670E+02, 3.119889185E+02, 8.839020164E+01, 2.178929844E+03
       820, 3.150000000E-01, 5.000000000E-03, 5.000000000E-03, 9.572249883E-03,-1.018437968E+00,-7.116611160E-01,-3.853795460E+00, 2.987982808E+00,-3.164976160E+01, 1.989554078E+03,-4.392645302E+02, 5.731631213E+02
       821, 3.250000000E-01, 1.500000000E-02, 5.000000000E-03, 4.292319833E-02,-6.702065870E-01,-8.435563370E-01,-1.130085811E+00, 2.292512754E+00,-3.144262409E+02, 6.696397800E+02,-2.819470386E+02, 1.922690451E+03
       822, 3.050000000E-01, 5.000000000E-03, 5.000000000E-03, 8.690048114E-03,-1.152511935E+00,-6.146088484E-01,-4.046362781E+00, 2.479564377E+00, 2.833073665E+02, 2.227972332E+03,-3.862572832E+02, 4.129953503E+02
       823, 3.150000000E-01, 1.500000000E-02, 5.000000000E-03, 3.188903601E-02,-8.201471634E-01,-7.801765186E-01,-2.036310865E+00, 2.465771461E+00,-3.613752055E+00, 1.144478307E+03,-5.651532183E+02, 1.508397221E+03
       824, 2.950000000E-01, 5.000000000E-03, 5.000000000E-03, 1.384446218E-02,-1.193939609E+00,-5.982798579E-01,-3.801547970E+00, 1.745947359E+00, 3.929187453E+02, 2.033582551E+03,-5.086024599E+02, 4.572311345E+02
       825, 3.050000000E-01, 1.500000000E-02, 5.000000000E-03, 2.575220076E-02,-1.015433348E+00,-6.775286896E-01,-2.783765477E+00, 2.368701001E+00, 1.329189996E+02, 1.386379283E+03,-6.599940932E+02, 1.136943433E+03
       826, 2.850000000E-01, 5.000000000E-03, 5.000000000E-03, 3.074589016E-02,-1.166624970E+00,-6.329447921E-01,-3.209559026E+00, 9.719223516E-01, 7.388729304E+02, 1.800396045E+03,-7.925732455E+02, 6.226215461E+02
       827, 2.950000000E-01, 1.500000000E-02, 5.000000000E-03, 2.628655119E-02,-1.182095433E+00,-5.826623224E-01,-3.129682073E+00, 2.023781233E+00, 3.894512253E+02, 1.527639659E+03,-7.138311678E+02, 9.553159835E+02
       828, 2.750000000E-01, 5.000000000E-03, 5.000000000E-03, 4.590439638E-02,-1.046764072E+00,-7.785040764E-01,-2.362654256E+00, 5.246948576E-01, 7.229380977E+02, 1.669498383E+03,-6.756701211E+02, 6.691535453E+02
       829, 2.850000000E-01, 1.500000000E-02, 5.000000000E-03, 3.364011838E-02,-1.210112142E+00,-5.710656802E-01,-3.123020913E+00, 1.508963623E+00, 8.546743859E+02, 1.484454339E+03,-8.509829940E+02, 9.253287932E+02
       830, 2.650000000E-01, 5.000000000E-03, 5.000000000E-03, 6.281904102E-02,-8.306932032E-01,-1.043022358E+00,-1.473733650E+00, 3.201598497E-01, 5.706214299E+02, 1.382368279E+03,-4.305857236E+02, 9.127991871E+02
